Text,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.06440087,0.062248845,0.045571204,0.039603088,0.038932364
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.17238244,0.1691405,0.14756048,0.090178914,0.05522321
My bed is so comfortable I don't want to get up unhappy ,2,29,27,43,14,0.16405079,0.10975454,0.09797921,0.06970182,0.06525074
And this tweet made me cry!! crying ,3,34,46,35,29,0.13061602,0.06720682,0.05049297,0.03639929,0.034882028
I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,3,34,45,35,0,0.10636331,0.09719214,0.090662576,0.08986486,0.06624502
And this tweet made me cry!! crying ,3,34,46,35,29,0.1332395,0.087375276,0.08006206,0.078794576,0.06200912
 Ngomel crying ,3,34,0,46,35,0.07067328,0.05741514,0.05531775,0.04589177,0.03684851
wowwow these are all so cute unhappy  i wantt ,3,34,4,29,2,0.19630301,0.14817466,0.1242707,0.08981196,0.064171135
help me too unhappy  as an early birthday gift huhu,3,34,27,46,43,0.060224183,0.051731557,0.04547433,0.038301706,0.034404162
wowwow these are all so cute unhappy  i wantt ,3,34,4,29,2,0.13748066,0.13289735,0.057902597,0.047977213,0.03904484
hawhaw crying  ,3,34,0,46,35,0.17409502,0.14420372,0.07134767,0.055990048,0.05210363
Bapak Tom Cruise. ,4,24,6,11,48,0.05683115,0.04180029,0.03712218,0.032534428,0.029727994
Nooo your hair color is pretty ,4,26,6,63,59,0.20158803,0.12003664,0.096695684,0.0566208,0.054043476
Nooo your hair color is pretty ,4,26,6,63,59,0.06801895,0.04907285,0.04054352,0.035048373,0.034743674
beauty ,4,26,24,48,63,0.06019159,0.05414541,0.04990314,0.036661398,0.036172643
I miss going to gigs in Liverpool unhappy ,5,34,27,46,35,0.09885938,0.0693501,0.054183893,0.051846944,0.046835564
There isnt a new Riverdale tonight ? unhappy ,5,27,22,34,55,0.10346146,0.08795109,0.0855444,0.061543234,0.05442261
I want fun plans this weekend unhappy ,5,27,22,55,34,0.17924826,0.17399183,0.08638635,0.07009793,0.06715794
how can people do stuff like this unhappy  ,5,22,45,27,35,0.054687567,0.053442203,0.03581979,0.033699676,0.03160477
I wish i could vote for you unhappy ,5,27,22,45,43,0.104663126,0.09794559,0.08329878,0.06828593,0.06413193
i feel bad for doing that AHAHA unhappy ,5,22,20,27,62,0.087083705,0.06134315,0.057523157,0.05436863,0.05201936
it's getting harder and harder to stay unhappy ,5,27,45,22,46,0.07115472,0.05786919,0.057650045,0.036783237,0.036481448
Why am i always taken for granted eversince unhappy ,5,27,45,46,43,0.055520423,0.05437222,0.054251738,0.036363788,0.03629516
I miss Louis' tweets unhappy ,5,27,46,35,34,0.110555984,0.06744731,0.06490686,0.06313863,0.05987412
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.082435384,0.041129794,0.028896153,0.028721184,0.028336134
I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,5,27,35,45,22,0.082435384,0.041129794,0.028896153,0.028721184,0.028336134
Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,5,34,27,46,35,0.14832482,0.10877976,0.07894087,0.05695043,0.050045192
I miss Rockys posts unhappy  ,5,46,27,34,22,0.16001977,0.12559137,0.07277679,0.0682111,0.06427799
I miss Big brother unhappy ,5,27,35,46,22,0.22616407,0.08955271,0.08742907,0.0794216,0.06265038
I want a puppy now unhappy ,5,27,34,22,55,0.124290526,0.106407054,0.10313436,0.0678245,0.053908225
happy weed day without them is not the same anymore unhappy ,5,30,27,46,22,0.10878705,0.083881095,0.08255567,0.074897945,0.049598422
Her back unhappy  ,5,22,51,27,34,0.17154208,0.1342222,0.10330558,0.08216598,0.08154944
but you were going to do it yesterday unhappy ,5,22,46,27,1,0.11664628,0.0670731,0.051855344,0.050791845,0.05026806
I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,5,27,34,22,35,0.11095507,0.098864175,0.09733974,0.07477628,0.06464192
I want to drink with cigarettes unhappy ,5,27,46,39,22,0.084451504,0.06924511,0.06267011,0.052740198,0.052613094
imagine if he wins next time too unhappy  unhappy ,5,46,22,45,27,0.12444867,0.08562809,0.07670718,0.065264046,0.039598867
wont be able to stream tonight i'm sorry guys unhappy ,5,27,34,46,45,0.14780204,0.13347925,0.07320031,0.06934333,0.065919146
I face swapped a cat with a dog and it's really upsetting unhappy  ,5,34,27,46,22,0.10993377,0.087521866,0.06589841,0.055465695,0.041191082
Bby unhappy  your emotion  ,5,30,27,46,37,0.22006287,0.046014998,0.034155972,0.03384137,0.031811554
 just kept going unhappy  ,5,27,22,45,35,0.19053367,0.15987363,0.074410096,0.06651678,0.035381738
poor baby unhappy  I hate people ,5,22,27,32,35,0.15857111,0.044510107,0.03874309,0.036269546,0.035768036
unhappy  i have to be strong today jfjfjkf,5,27,57,43,34,0.13169481,0.12905024,0.10116524,0.09131065,0.088330105
Her back unhappy  ,5,22,51,27,34,0.07512996,0.06941733,0.06599556,0.058385856,0.05698623
how much? i cant seem to deathmatch you unhappy ,5,27,46,22,48,0.16759768,0.14700651,0.050044607,0.049407825,0.039782237
she is! HAHA but I wanted to look like v unhappy ,5,27,22,20,34,0.131406,0.07675046,0.04340924,0.035422277,0.03431488
 i want to go to an m's game unhappy ,5,27,22,55,35,0.09895856,0.09485487,0.08447451,0.06762831,0.052519158
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.054971404,0.05072853,0.045129806,0.044227224,0.042776972
i want to see you happy sad ,5,27,34,46,35,0.09787116,0.090787314,0.076814935,0.07345876,0.071418546
Her back unhappy  ,5,22,51,27,34,0.09070183,0.087356344,0.07180662,0.07066474,0.069704466
it feels kind of empty w/o youngjae at the venue.. unhappy ,5,27,34,22,46,0.17284116,0.16763946,0.1435451,0.11802854,0.081417285
Her back unhappy  ,5,22,51,27,34,0.054971404,0.05072853,0.045129806,0.044227224,0.042776972
I face swapped a cat with a dog and it's really upsetting unhappy  ,5,34,27,46,22,0.12819532,0.1269482,0.12511022,0.106406346,0.07030194
I miss you unhappy ,5,27,46,22,34,0.08409198,0.054015905,0.05285132,0.049670573,0.048819203
 our reunion is in August unhappy ,5,27,46,34,22,0.06485006,0.048083965,0.0447284,0.04126335,0.041259717
Wish I could stay in bed all day and listen to the rain sad ,5,27,34,35,22,0.1462165,0.08825481,0.061398756,0.0608742,0.052598335
ally unhappy  I can't make a poem about being cute ,5,22,35,27,1,0.19705833,0.1173784,0.082435824,0.07549865,0.070116155
i find it so difficult to says no to him unhappy  ,5,27,45,22,43,0.104026854,0.08475608,0.0831049,0.054234546,0.054190487
It's only been 3 days and to  nights since mama went back to the province but I already miss her unhappy ,5,46,27,34,35,0.054971404,0.05072853,0.045129806,0.044227224,0.042776972
Keep looking for the things I bought yesterday in my dream unhappy ,5,27,46,45,35,0.069771625,0.056938548,0.04983719,0.047733016,0.044761796
why is it so hard for you to notice me? Haay unhappy ,5,27,46,35,45,0.17743808,0.12053911,0.09302345,0.087190144,0.08646339
When are you going to notice yous? unhappy ,5,27,22,45,46,0.15583141,0.13622381,0.1303771,0.10826021,0.088678874
And I miss my bedroom too unhappy ,5,27,34,46,43,0.0905493,0.083267294,0.080599606,0.0749684,0.071414866
I miss my baby unhappy  ,5,27,46,34,22,0.087064765,0.063066214,0.0527762,0.052515913,0.051317498
i miss them unhappy ,5,27,46,22,34,0.07052016,0.06751143,0.06662225,0.059761778,0.054610685
i miss jihoon sad ,5,34,27,35,46,0.1357849,0.13246113,0.08567796,0.041949935,0.04147016
 I just hope everything goes right from now on unhappy ,5,27,21,45,22,0.11652402,0.07383843,0.07212563,0.058174793,0.051136598
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.082435384,0.041129794,0.028896153,0.028721184,0.028336134
it can't be over unhappy ,5,27,22,45,35,0.06283826,0.061036218,0.057216465,0.044364158,0.04011781
how about me unhappy ,5,27,55,1,22,0.16768326,0.060224976,0.060214777,0.05889652,0.041450348
i want to hang out with them unhappy ,5,27,22,43,46,0.19467853,0.15755823,0.12699409,0.09531765,0.0822258
I need cheering up,5,27,34,45,22,0.1945103,0.17206973,0.16468057,0.07110823,0.04975525
 my dog who my family have had for 18 years is being put down tomorrow unhappy ,5,27,46,34,32,0.07512055,0.07039153,0.06754447,0.049083043,0.0475856
 I really need to build it unhappy ,5,27,22,45,43,0.062728025,0.06241379,0.055686288,0.055439632,0.052009854
 that fall was a mess unhappy ,5,27,46,22,45,0.11260095,0.094267145,0.08301629,0.078768045,0.07506646
i really really need them right now unhappy ,5,27,46,34,45,0.2846029,0.05139144,0.051309664,0.04058318,0.040487602
Me too sweetie I know how you feel unhappy ,5,27,46,34,22,0.04586269,0.04222486,0.04092668,0.039219182,0.039018285
are dying of thirst  and it's all because of us unhappy   ,5,27,46,35,11,0.07661562,0.067533955,0.06669934,0.056742087,0.052452676
i still cant unhappy ,5,35,43,27,45,0.13179491,0.12065698,0.07488989,0.06992434,0.05099123
 I'm a joke unhappy ,5,27,22,20,25,0.056671225,0.055944018,0.043533485,0.041548755,0.041461978
I wish but I can't sad ,5,27,34,22,35,0.06203997,0.056126043,0.054081716,0.049727112,0.040024284
its my birthday tomorrow baby unhappy ,5,34,27,22,35,0.30159655,0.2176295,0.1539012,0.07583344,0.040846046
I'm slow unhappy  ,5,27,22,35,45,0.07905432,0.06394442,0.05194227,0.049245726,0.04684576
 but not your career. unhappy ,5,22,27,46,56,0.11089833,0.08711301,0.07295266,0.04676117,0.03951628
exactly same in was thinking.. unhappy  ,5,27,22,43,45,0.17660713,0.09657049,0.052540515,0.04572835,0.044559285
Can someone buy me a tasbih pls? I don't have one unhappy ,5,21,27,34,20,0.09895703,0.08559473,0.07838089,0.052183867,0.050656117
No more good conversations here unhappy ,5,56,27,22,46,0.05799924,0.055998776,0.05499819,0.048413347,0.044815138
trop retard sad ,5,34,35,27,45,0.19535783,0.073393956,0.06863077,0.06697453,0.06267814
And you're right about McConnell as well. Unfortunately,5,27,1,22,19,0.07788251,0.076165095,0.058931347,0.057816513,0.051398214
I wish my dogs knew how much I hyped them up on snap chat unhappy ,5,27,22,34,45,0.13036102,0.09486077,0.09226747,0.0833604,0.05171768
I miss BMF sad ,5,34,27,35,46,0.10871973,0.09870117,0.074081495,0.06785018,0.050291985
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.06975849,0.06651263,0.059259485,0.057124224,0.044043608
yeah unhappy ,5,22,27,1,35,0.0924125,0.08644149,0.07130073,0.07036533,0.054808572
We All Know unhappy  ,5,27,22,46,35,0.095104784,0.0701105,0.06638829,0.0654116,0.047612276
I can relate to this so so much unhappy  ,5,27,46,35,45,0.14569077,0.14270566,0.13389933,0.11537623,0.066371866
This happens ALL the time!  unhappy  ,5,27,55,22,32,0.09174466,0.06975742,0.05418244,0.051976155,0.047991
my honey unhappy  ,5,27,34,22,46,0.15312992,0.13710694,0.11889428,0.081184566,0.046947636
I want to but I wouldn't be able to get time off for it and don't know people in my year to go with unhappy  ,5,27,22,45,43,0.09211513,0.05685994,0.05589876,0.050406266,0.041703697
wow unhappy  people are so mean  ,5,27,22,55,35,0.040079005,0.03798881,0.035407938,0.03211475,0.027849356
please meeeee you have followed me for almost to  years now unhappy ,5,27,34,3,46,0.083483286,0.07305008,0.061855618,0.061013922,0.059254956
i want to kiss his nose and tell him i love him sad ,5,27,34,46,35,0.08893156,0.08881758,0.078441866,0.062482372,0.060617898
Her back unhappy  ,5,22,51,27,34,0.1503886,0.109153226,0.07040029,0.063316345,0.06271777
Guys please help me retweet unhappy  ,5,27,21,34,3,0.049563166,0.048533283,0.037337855,0.03557666,0.034665123
I miss my baby unhappy ,5,27,46,34,22,0.12511276,0.12423002,0.08997133,0.066424154,0.05756636
I face swapped a cat with a dog and it's really upsetting unhappy  ,5,34,27,46,22,0.14381698,0.08492457,0.064430036,0.03704837,0.03519792
I miss my boo so much unhappy ,5,46,27,34,35,0.054971404,0.05072853,0.045129806,0.044227224,0.042776972
I wish i could attend it too unhappy ,5,27,22,35,45,0.054971404,0.05072853,0.045129806,0.044227224,0.042776972
I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too sad  I just pick,5,22,27,35,45,0.08273394,0.069805056,0.063508816,0.06319018,0.057333704
Such a lucky slave i wish this was me unhappy ,5,27,46,34,35,0.40793437,0.14086081,0.058692228,0.04829207,0.03337163
instant message still hoping unhappy  ,5,27,22,46,45,0.10854081,0.093192264,0.080374435,0.07511405,0.0684265
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.177065,0.14760572,0.075637445,0.068946235,0.05878484
I face swapped a cat with a dog and it's really upsetting unhappy  ,5,34,27,46,22,0.18153667,0.13580206,0.12728725,0.09331234,0.077464685
my honey unhappy  ,5,27,34,22,46,0.14816456,0.12054918,0.12003862,0.09756677,0.08550387
 didn't get a chance to say hi unhappy ,5,27,22,35,46,0.14673515,0.11968254,0.07289879,0.05410763,0.0519469
I miss quacktopia! unhappy ,5,27,46,34,43,0.11272632,0.10096587,0.09875869,0.06939822,0.05809786
are dying of thirst  and it's all because of us unhappy   ,5,27,46,35,11,0.11826034,0.04204446,0.035031036,0.02933606,0.02881428
I'm sorry unhappy ,5,27,22,34,45,0.062153246,0.05563606,0.055138778,0.051800106,0.049679752
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.0902384,0.047962632,0.04765162,0.04559644,0.039204914
I miss quacktopia! unhappy ,5,27,46,34,43,0.061819065,0.05194224,0.046328586,0.04626396,0.038348958
baby unhappy  ,5,27,46,22,34,0.0982209,0.086598165,0.08210137,0.07951661,0.07431378
poor baby unhappy  I hate people ,5,22,27,32,35,0.09314191,0.093015,0.090359226,0.07618326,0.06777642
Don't think I'm pretty enough unhappy ,5,27,22,45,56,0.05797386,0.05616034,0.05156818,0.047919635,0.043812107
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.18617788,0.10378779,0.05147851,0.038978722,0.038061053
  i was going to add bazza,5,34,3,22,55,0.06897696,0.049440954,0.049395006,0.04720445,0.046642028
 but i can't,5,27,34,35,29,0.10583257,0.078507185,0.06593878,0.04051727,0.03537087
i just want to wish marissa a happy birthday but she keeps ignoring me sad ,5,27,34,46,35,0.056528732,0.046024542,0.044427216,0.04234001,0.037896678
I DON'T KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND I'VE BEEN WAITING THE DM FOR A LONG TIME unhappy ,5,27,22,45,34,0.102864385,0.069501415,0.056237474,0.048874434,0.043992393
i miss you too unhappy ,5,27,46,35,22,0.14462435,0.11438422,0.08670764,0.061985802,0.053835712
I miss my baby unhappy ,5,27,46,34,22,0.062267035,0.059525717,0.054433197,0.04978485,0.04371217
That makes me sad. unhappy  I wasn't friends with her like you,5,27,22,34,46,0.12765305,0.11304252,0.09517655,0.06789124,0.067165144
I WAITED FOR YOU unhappy  ,5,46,27,48,22,0.097980425,0.084671326,0.08311206,0.07630363,0.0654441
All my irls are coming at me because I meet the boys too much and I don't deserve any of it unhappy ,5,34,46,27,35,0.06975849,0.06651263,0.059259485,0.057124224,0.044043608
i'll try sad and yes i am unhappy ,5,27,46,34,35,0.14732945,0.13613787,0.113107726,0.10526314,0.061135545
yeah sad ,5,27,22,35,34,0.07603169,0.043006275,0.03998796,0.039764743,0.03951748
 sorry guys unhappy ,5,27,22,30,45,0.13919275,0.13460104,0.070646495,0.052262962,0.051959332
True unhappy ,5,27,22,46,35,0.11902142,0.075419426,0.07462843,0.06804249,0.06661894
i know.. i really want his ranks to rise a lot during tmr's episode but seeing how many tweet about him.. unhappy ,5,27,22,34,46,0.11872686,0.108193055,0.10055676,0.08562451,0.06420309
come to Miami sad  ,5,34,27,35,45,0.09730963,0.07825284,0.07796437,0.06033459,0.058192726
sad  I don't,5,27,22,34,35,0.071848355,0.06670621,0.061029155,0.055968676,0.051527977
 unfortunately,5,27,22,1,35,0.12511276,0.12423002,0.08997133,0.066424154,0.05756636
i really feel for that lamp unhappy ,5,27,22,46,43,0.075136565,0.06403449,0.05338113,0.0431717,0.03739219
sadly I'm not unhappy ,5,22,35,15,27,0.17932115,0.04664219,0.04401011,0.04211579,0.042080052
Why is it so difficult for me to get at least a chance unhappy ,5,27,45,43,22,0.09412958,0.08579568,0.07721372,0.07044315,0.04813604
ill be at work just a second come on unhappy ,5,27,45,22,35,0.082435384,0.041129794,0.028896153,0.028721184,0.028336134
Guys please help I tried to smoke some lettuce earlier but now my salad is ruined unhappy ,5,27,34,3,45,0.11301336,0.093004465,0.079530425,0.049018074,0.048394408
wow this is amazing but i won't be in the country unhappy  ,5,22,46,34,27,0.12672466,0.1109416,0.08919268,0.06747809,0.06124565
I miss Jamie boy and we're both sick unhappy ,5,39,27,46,34,0.13322705,0.12023189,0.0855094,0.07998959,0.07147045
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.08775317,0.081792615,0.08084823,0.072260745,0.066578895
where's justin i miss him unhappy ,5,27,34,22,46,0.07512996,0.06941733,0.06599556,0.058385856,0.05698623
I wish I was meeting OA again unhappy ,5,27,22,34,35,0.13357897,0.12844147,0.1012944,0.06857704,0.06047204
A year ago today is the last time Sakho played for us unhappy ,5,46,34,35,27,0.17974277,0.14395347,0.0536688,0.052221287,0.03910509
I miss him unhappy  ,5,27,46,22,34,0.07439778,0.06555306,0.065045014,0.06323134,0.05581421
I honestly think that their just trying to get rid of me and make a mockery out of me in my Town because i just wont admit it. unhappy ,5,27,22,55,25,0.07588966,0.06327027,0.05568655,0.044640433,0.044014916
I need lessons to learn how to start conversations with people and keep chatting with them unhappy ,5,27,22,45,43,0.104026854,0.08475608,0.0831049,0.054234546,0.054190487
 I won't be on till later! unhappy ,5,27,22,55,43,0.07761724,0.053930003,0.03968753,0.03791204,0.03476088
sometimes at night i feel scared and vulnerable crying ,5,34,27,45,46,0.111848965,0.055693008,0.055314593,0.050791785,0.047478992
Same unhappy  I've unfollowed so many people ugh,5,27,43,32,45,0.09329216,0.09192476,0.07742627,0.07701835,0.06990466
yeah i am unhappy  thank you so much my angel ,5,27,46,34,16,0.2131337,0.06475934,0.058349878,0.056402683,0.044415645
i miss jihoon sad ,5,34,27,35,46,0.07372949,0.06711768,0.06184894,0.048905034,0.04788766
unhappy  oh man..,5,27,45,22,35,0.11826034,0.04204446,0.035031036,0.02933606,0.02881428
I miss talking to yoyoyou  who are yoyou younhappy  yoyou can always still talk to me ,5,34,46,27,35,0.062153246,0.05563606,0.055138778,0.051800106,0.049679752
This picture makes me sad unhappy  ,5,27,34,22,35,0.06975849,0.06651263,0.059259485,0.057124224,0.044043608
I understand that look sad ,5,22,27,35,34,0.1243323,0.107585065,0.099068016,0.09429241,0.07619425
my boyfriend mad cute unhappy ,5,22,27,34,4,0.035522446,0.03420567,0.032973714,0.031134823,0.029184615
One year ago today unhappy  ,5,27,46,22,35,0.08698022,0.0744405,0.05929397,0.042181414,0.03965913
I miss the 7/27 costumes unhappy ,5,34,27,46,22,0.12684953,0.042636335,0.04197708,0.037388973,0.035324086
You deserve better . Hope you'll be okay unhappy  ,5,46,27,15,30,0.05928174,0.05839333,0.044117223,0.042203855,0.0399027
so sorry I havent been checking my tweets unhappy  We are all here for you!,5,23,27,34,8,0.10924136,0.06846162,0.05942866,0.052200492,0.05208348
Aww unhappy  I'm on Coeurl,5,27,34,22,35,0.16238293,0.14637661,0.13224503,0.11883089,0.10359516
Don't ask. Two special issues lined up. unhappy ,5,27,55,22,38,0.06975849,0.06651263,0.059259485,0.057124224,0.044043608
I miss it already unhappy ,5,27,46,22,34,0.07943014,0.06201044,0.052842505,0.046736307,0.04134116
 it's just got 3 years longer unhappy   ,5,22,27,46,34,0.085311115,0.055009797,0.05422791,0.048648756,0.04638957
I'm all fucked up right now unhappy ,5,27,45,43,35,0.10143933,0.050992277,0.04512357,0.043085556,0.040067255
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.14935943,0.13947372,0.11603206,0.06728322,0.05989939
can I only pick one unhappy  ,5,27,22,45,25,0.102881595,0.04659314,0.04600454,0.03797937,0.03762025
But I'm lonely. unhappy ,5,27,22,34,46,0.08702096,0.06728238,0.06427428,0.047252912,0.04252151
Miss my friends unhappy ,5,27,22,34,46,0.1380948,0.08357875,0.06820841,0.057790697,0.055035677
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.14816456,0.12054918,0.12003862,0.09756677,0.08550387
i miss them already unhappy  ,5,27,46,34,22,0.1009985,0.07616512,0.059479095,0.05524168,0.04226212
 but no sign.,5,27,46,22,34,0.17075215,0.14745763,0.13293073,0.05448215,0.05439496
Today is 4-20 which is Hitler's birthday unhappy  ,5,27,22,34,45,0.20929454,0.17285314,0.109550655,0.084230386,0.08007824
talking about tattoos just makes me want my bb8 tattoo more and more but i'm so broke it makes me unhappy ,5,27,45,46,35,0.14884579,0.11633346,0.09271082,0.083812445,0.08283575
 but customs mean we can't send food abroad unhappy  We do hope your other Birthday dreams come true,5,34,27,22,46,0.055751286,0.053933844,0.052139483,0.049566176,0.045704525
but why? unhappy ,5,27,22,34,46,0.054971404,0.05072853,0.045129806,0.044227224,0.042776972
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.110661395,0.10298083,0.08753479,0.064070806,0.06059685
wish i had someone to  cuddle me right now unhappy ,5,27,22,34,43,0.09880587,0.09874545,0.08829845,0.06703798,0.06555775
 I'm so sorry to see your tweet unhappy  Please could you DM your address details? I will look i ,5,27,34,46,45,0.15545814,0.10345448,0.08570123,0.0851103,0.06371212
I'm trying to stay positive but I can't help be jealous of princess Mia's life. All she does is cuddle and eat unhappy ,5,46,27,34,22,0.05976526,0.059186097,0.052124355,0.046867497,0.046132278
Russell my phone is just 10% is there a possibility or a chance that you would notice me? unhappy  ,5,27,46,45,34,0.09146438,0.06911456,0.06594221,0.061792996,0.051999036
do you even care at all unhappy ,5,27,22,35,45,0.14582713,0.07799164,0.06068113,0.052594,0.046483535
One year ago today unhappy  ,5,27,46,22,35,0.05446048,0.050279927,0.03286025,0.032352213,0.03233778
I know how you feel,5,46,27,35,45,0.098150246,0.04729525,0.04265965,0.042592954,0.0413813
instant message still hoping unhappy  ,5,27,22,46,45,0.084317654,0.07397233,0.066450864,0.046537288,0.04642557
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.08944368,0.08648277,0.07272337,0.05693962,0.055164296
I face swapped a cat with a dog and it's really upsetting unhappy  ,5,34,27,46,22,0.1512905,0.10956375,0.09642507,0.060918316,0.038472425
I'm just really soft spoken unhappy ,5,22,27,35,45,0.100052826,0.06875894,0.06386297,0.061842185,0.04802028
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.11905503,0.11021853,0.08403988,0.07205215,0.06913168
Bells gone to daddies for to  days. Work  work work for me unhappy ,5,27,34,35,22,0.062339086,0.05989204,0.058466222,0.053045116,0.051881246
miss you unhappy ,5,46,27,34,35,0.1188654,0.053275894,0.05226292,0.05018538,0.044575583
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.06943048,0.05383818,0.052816853,0.051753063,0.04318309
I want to be cuddled up having someone do that little back trace thing to put me to sleep unhappy ,5,27,35,14,22,0.16211991,0.12265895,0.046089686,0.035924647,0.03006604
You mean your voice changed? unhappy ,5,27,22,46,43,0.1599253,0.14704427,0.10820611,0.07563238,0.073756695
 Damn... this just Sucks! unhappy ,5,27,55,32,43,0.16197154,0.09217325,0.076551594,0.07602764,0.053020634
I've tried resetting everything,5,27,22,45,35,0.1731596,0.1711794,0.1077508,0.08038841,0.06360421
i want to meet you both so bad unhappy ,5,27,46,45,43,0.10081882,0.08284149,0.05154191,0.051167827,0.049387302
I don't want to adult today.. it's my birthday unhappy ,5,27,34,22,43,0.075781904,0.069795184,0.062900186,0.05221957,0.051864915
 although i'll be a little late sad  ,5,22,27,34,35,0.08282131,0.05637272,0.052055247,0.05173804,0.045389958
Koalas are dying of thirst  and it's all because of us unhappy  ,5,27,35,46,45,0.05461004,0.05120532,0.04869943,0.0405097,0.038966477
It's been a year haha unhappy ,5,27,46,22,20,0.090422794,0.06499397,0.05270048,0.05025918,0.048474412
Aww I was trying to cheer you up unhappy ,5,27,22,34,46,0.12506223,0.112473235,0.08535565,0.07332219,0.07322651
 but in reality ALONE and LONELY  unhappy ,5,27,22,46,34,0.15517865,0.12640148,0.11358924,0.097974814,0.08181271
I hate losing online friends unhappy  it's cruel when people deactivate unhappy  ,5,27,46,34,22,0.15278335,0.10819048,0.10670046,0.09086404,0.088417456
Guys please help me retweet unhappy  ,5,27,21,34,3,0.07474539,0.06674622,0.06099432,0.04414734,0.03890826
the only appropriate ones i have unhappy  ,5,27,22,35,45,0.099548146,0.09520216,0.09323281,0.077889584,0.07168743
i miss so much unhappy ,5,46,27,35,34,0.07430475,0.040142763,0.03822969,0.03229467,0.0307138
Autograph book at the ready,6,31,33,17,10,0.09368086,0.085553005,0.075923145,0.060921755,0.059844535
 oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,7,53,16,50,33,0.08893204,0.0872822,0.072653,0.06985367,0.064470306
